chapter,hiragana,kanji,english
0,はじめましょう,始めましょう,Let's begin.
0,やすみましょう。,休みましょう。,Let's take a break.
0,はい、わかります。,,"Yes, I do"
0,いいえ、わかりません。,,"No, I don't"
0,もういちど。,もう 一度。,Once more.
0,けっこうです。,結構です,Fine. / Good.
0,だめです。,駄目です,That's not OK. / That's wrong.
0,なまえ,名前,name
0,しゅくだい,宿題,homework
0,しつもん,質問,question
0,こたえ,答え,answer
0,れい,例,example
0,こんにちは。,今日は,Good afternoon.
0,こんばんは。,今晩は,Good evening.
0,おやすみなさい。,お休みなさい。,Good night.
0,さようなら。,,Good-bye.
0,ありがとう,ございます。,Thank you very much
0,すみません。,,Excuse me. / I'm sorry.
0,ゼロ、れい,,0
0,いち,一,1
0,さん,三,3
0,ご,五,5
0,ろく,六,6
0,なな、しち,七,7
0,はち,八,8
0,きゅう、く,九,9
0,じゅう,十,10
1,わたし,私,I
1,わたしたち,私達,we
1,あなた,貴方,you
1,あのひと,あの人,"that person, he, she"
1,あのかた,あの方,polite equivalent of あのひと
1,みなさん,皆さん,"ladies and gentlemen, all of you"
1,～さん,,"Mr., Ms. (title of respect added to a name)"
1,～くん,～君,(suffix often added to a boy's name)
1,きょうし,教師,"teacher, instructor"
1,がくせい,学生,student
1,いしゃ,医者,medical doctor
1,けんきゅうしゃ,研究者,"researcher, scholar"
1,エンジニア,,engineer
1,だいがく,大学,university
1,びょういん,病院,hospital
1,でんき,電気,"electricity, light"
1,どなた,何方,polite equivalent of だれ
1,なんさい,何歳,how old
1,おいくつ,お幾つ,polite equivalent なんさい
1,はい,,yes
1,しつれいですが,失礼ですが,"Excuse me, but"
1,おなまえは？,お名前は？,May I have your name?
1,はじめまして。,初めまして。,How do you do?
1,こちらは～さんです。,此方は～さんです,This is Mr./Ms. ~.
1,～からきました,～から来ました,I came (come) from ~.
2,これ,,this (thing near the speaker)
2,それ,,"that (thing far the speaker, near the listener)"
2,あれ,,that (thing far both speaker and listener)
2,この～,,"this ~, this ~ here"
2,その～,,"that ~, that ~ near you"
2,ほん,本,book
2,じしょ,辞書,dictionary
2,ざっし,雑誌,magazine
2,しんぶん,新聞,newspaper
2,ンート,,notebook
2,てちょう,手帳,pocket notebook
2,めいし,名刺,business card
2,カード,,card
2,えんぴつ,鉛筆,pencil
2,ボールペン,,ballpoint pen
2,シャープペンシル,,"mechanical pencil, propelling pencil"
2,かぎ,鍵,key
2,とけい,時計,"watch, clock"
2,かさ,傘,umbrella
2,かばん,鞄,"bag, briefcase"
2,カセットテープ,,casette tape
2,テレビ,,television
2,ラジオ,,radio
2,カメラ,,camera
2,コンピューター,,computer
2,じどうしゃ,自動車,"automobile, car"
2,つくえ,机,desk
2,チョコレート,,chocolate
2,えいご,英語,the English language
2,にほんご,日本語,the Japanese language
2,～ご,～語,~ language
2,なん,何,what
2,そう,,so
2,ちがいます,違います,"No, it isn't. You are wrong."
2,あのう,,well...(used to show hesitation)
2,ほんの きもちです,本の気持ちです,It's nothing./It's a token of my gratitude.
2,どうも,,"Well, thanks."
2,どうもありがとう,,Thank you
2,ございます,,very much
3,ここ,,"here, this place"
3,そこ,,"there, that place near you"
3,あそこ,,that place over there
3,どこ,,"where, what place?"
3,こちら,,"this way, this place (polite ここ)"
3,そちら,,"that way, that place near you (polite そこ)"
3,あちら,,"that way, that place over there (polite あそこ)"
3,どちら,,"which way, where (polite どこ)"
3,きょうしつ,教室,classroom
3,しょくどう,食堂,"dining hall, canteen"
3,じむしょ,事務所,office
3,かいぎしつ,会議室,"conference room, assembly rooms"
3,うけつけ,受付,reception desk
3,ロビー,,lobby
3,トイレ（おてあらい）,（お手洗い）,toilet
3,かいだん,階段,staircase
3,エレベーター,,"elevator, lift"
3,エスカレーター,,escalator
3,かいしゃ,会社,work
3,うち,家,"house, home"
3,でんわ,電話,"telephone, telephone call"
3,ネクタイ,,necktie
3,ワイン,,wine
3,たばこ,煙草,"tobacco, cigarette"
3,うりば,売り場,"department, counter (in a department store)"
3,ちか,地下,basement
3,〜かい（〜がい）,〜階,~th floor
3,なんがい,何階,what floor
3,〜えん,〜円,~yen
3,いくら,幾ら,how much
3,ひゃく,百,hundred
3,せん,千,thousand
3,まん,万,ten thousand
3,すみません。,,Excuse me.
3,～でございます。,,(polite equivalent of です)
3,[～を],みせてください。,Please show me [~].
3,じゃ,,"well, then, in that case"
3,[～を]くだざい。,,"Give me [~], please."
4,おきます,起きます,"get up, wake up"
4,ねます,寝ます,"sleep, go to bed"
4,はたらきます,働きます,work
4,やすみます,休みます,"take a rest, take a holiday"
4,べんきょうします,勉強します,study
4,デパート,,department store
4,ぎんこう,銀行,bank
4,ゆうびんきょく,郵便局,post office
4,としょかん,図書館,library
4,びじゅつかん,美術館,art museum
4,いま,今,now
4,～じ,～時,~o'clock
4,～ふん （〜ぷん）,～分,~minute
4,なんじ,何時,what time
4,なんぷん,何分,what minute
4,ごぜん,午前,"a.m., morning"
4,ごご,午後,"p.m., afternoon"
4,あさ,朝,morning
4,ひる,昼,"daytime, noon"
4,ばん（よる）,晩（夜）,"night, evening"
4,おととい,一昨日,the day before yesterday
4,きょう,今日,today
4,あした,明日,tomorrow
4,あさって,明後日,the day after tomorrow
4,けさ,今朝,this morning
4,こんばん,今晩,"this evening, tonight"
4,やすみ,休み,"rest, a holiday, a day off"
4,ひるやすみ,昼休み,lunchtime
4,まいあさ,毎朝,every morning
4,まいばん,毎晩,every evening
4,まいにち,毎日,every day
4,げつようび,月曜日,Monday
4,かようび,火曜日,Tuesday
4,もくようび,木曜日,Thursday
4,きんようび,金曜日,Friday
4,どようび,土曜日,Saturday
4,にちようび,日曜日,Sunday
4,なんようび,何曜日,what day of the week
4,ばんごう,番号,number
4,なんばん,何番,what number
4,～から,,from ~
4,～と～,,and (used to connect nouns)
4,そちら,,your place
4,えーと,,"well, let me see"
4,おねがいします。,お願いします。,Please. (lit. ask for a favor)
4,かしこまりました。,,"Certainly (sir, madam)."
4,おといあわせのばんごう,,the number being inquired about
5,きます,来ます,come
5,かえります,帰ります,"go home, return"
5,がっこう,学校,school
5,スーパー,,supermarket
5,えき,駅,station
5,ひこうき,飛行機,airplane
5,ふね,船,ship
5,でんしゃ,電車,electric train
5,しんかんせん,新幹線,"the Shinkansen, the bullet train"
5,バス,,bus
5,タクシー,,taxi
5,じてんしゃ,自転車,bicycle
5,あるいて,歩いて,on foot
5,ひと,人,"person, people"
5,ともだち,友達,friend
5,かれ,彼,"he, boyfriend, lover"
5,かのじょ,彼女,"she, girlfriend, lover"
5,ひとりで,一人で,"alone, by oneself"
5,せんしゅう,先週,last week
5,こんしゅう,今週,this week
5,らいしゅう,来週,next week
5,せんげつ,先月,last month
5,こんげつ,今月,this month
5,らいげつ,来月,next month
5,きょねん,去年,last year
5,らいねん,来年,next year
5,～がつ,～月,~th month of the year
5,なんがつ,何月,what month
5,ついたち,一日,first day of the month
